soil_moisture,temperature,humidity,label
28.46,31.28,58.45,WATER_NOW
54.04,19.85,71.97,NO_WATER
48.97,23.49,42.46,NO_WATER
52.86,22.4,69.96,NO_WATER
48.25,25.76,80.61,NO_WATER
78.73,28.1,80.37,NO_WATER
57.29,36.37,88.11,NO_WATER
30.31,34.32,64.04,WATER_SOON
81.2,21.49,93.05,NO_WATER
53.19,21.74,76.09,NO_WATER
70.34,21.34,76.07,NO_WATER
78.73,36.51,71.22,NO_WATER
6.49,20.77,73.36,WATER_SOON
66.75,33.63,63.71,WATER_SOON
12.81,32.36,80.81,WATER_NOW
79.06,29.18,48.38,NO_WATER
57.57,34.01,71.61,WATER_SOON
72.78,27.49,76.72,NO_WATER
90.4,33.23,38.46,NO_WATER
77.74,17.99,55.5,NO_WATER
34.98,32.12,46.44,WATER_SOON
61.93,33.45,77.44,NO_WATER
65.31,27.76,44.83,NO_WATER
11.52,26.14,54.03,WATER_NOW
72.8,37.3,59.51,NO_WATER
49.58,31.06,56.43,NO_WATER
44.58,24.15,87.53,NO_WATER
17.86,26.84,84.68,WATER_SOON
67.99,26.68,76.98,NO_WATER
46.81,32.1,48.62,WATER_SOON
59.69,30.72,52.76,WATER_SOON
67.28,32.41,76.88,NO_WATER
55.38,28.56,45.19,WATER_SOON
41.11,30.76,59.59,WATER_SOON
56.1,30.84,50.98,WATER_SOON
7.04,33.22,92.79,WATER_NOW
61.5,34.72,98.0,NO_WATER
72.01,19.49,83.79,NO_WATER
31.1,23.69,40.87,WATER_SOON
23.56,27.27,70.98,WATER_SOON
72.3,21.51,68.79,NO_WATER
62.51,40.2,53.46,WATER_SOON
62.06,30.09,68.77,NO_WATER
35.48,26.21,49.12,WATER_SOON
75.81,35.25,39.57,NO_WATER
22.18,30.74,46.47,WATER_SOON
10.72,22.78,32.07,WATER_NOW
42.24,26.06,67.24,WATER_SOON
27.93,33.8,42.49,WATER_NOW
75.55,21.58,74.43,NO_WATER
90.7,19.1,31.94,NO_WATER
19.43,21.73,67.86,WATER_SOON
7.69,26.98,77.18,WATER_SOON
90.88,32.07,69.18,NO_WATER
59.07,31.63,54.28,NO_WATER
14.66,34.23,87.8,WATER_NOW
89.32,26.46,64.18,NO_WATER
49.74,31.9,48.41,WATER_SOON
81.86,25.37,75.31,NO_WATER
84.1,23.91,57.34,NO_WATER
48.59,20.84,55.36,NO_WATER
46.09,25.92,71.38,NO_WATER
57.03,36.44,60.71,WATER_SOON
63.37,27.38,68.06,NO_WATER
62.2,23.17,82.18,NO_WATER
10.73,42.0,70.0,WATER_NOW
47.94,31.05,52.91,WATER_SOON
34.91,30.04,85.25,WATER_SOON
60.6,29.88,63.62,NO_WATER
61.7,25.41,98.0,NO_WATER
71.37,27.17,22.12,NO_WATER
49.41,27.13,95.22,NO_WATER
30.04,33.01,98.0,WATER_SOON
40.27,32.73,44.32,WATER_SOON
24.95,25.81,75.44,WATER_SOON
36.31,22.92,68.05,WATER_SOON
26.3,22.43,34.16,WATER_SOON
67.98,26.82,98.0,NO_WATER
8.56,31.45,33.1,WATER_NOW
33.3,24.29,45.35,WATER_SOON
48.07,23.28,38.82,NO_WATER
94.49,25.47,46.02,NO_WATER
15.21,16.45,65.57,WATER_SOON
58.64,34.09,90.03,NO_WATER
86.64,23.93,33.99,NO_WATER
36.05,29.27,67.1,WATER_SOON
17.74,26.83,64.59,WATER_NOW
84.5,35.36,62.33,NO_WATER
84.99,26.33,68.06,NO_WATER
89.15,28.5,74.24,NO_WATER
42.34,35.55,72.58,WATER_SOON
21.32,21.77,63.05,WATER_SOON
58.86,31.31,68.72,WATER_SOON
28.98,35.63,80.99,WATER_NOW
94.52,36.44,69.62,NO_WATER
32.53,27.8,63.12,WATER_SOON
85.09,31.62,65.41,NO_WATER
40.32,27.29,51.26,WATER_SOON
42.04,28.86,42.34,WATER_SOON
